113: Trời trong                            : Clear
113: Trời nắng                             : Sunny
116: Có mây                                : Partly cloudy
119: Nhiều mây                             : Cloudy
122: Âm u                                  : Overcast
143: Sương mù                              : Mist
176: Có mưa rải rác                        : Patchy rain possible
179: Có tuyết rải rác                      : Patchy snow possible
182: Có mưa đá rải rác                     : Patchy sleet possible
185: Có mưa phùn băng rải rác              : Patchy freezing drizzle possible
200: Có dông                               : Thundery outbreaks possible
227: Tuyết bay                             : Blowing snow
230: Bão tuyết                             : Blizzard
248: Sương mù                              : Fog
260: Sương mù đóng băng                    : Freezing fog
263: Mưa phùn nhẹ rải rác                  : Patchy light drizzle
266: Mưa phùn nhẹ                          : Light drizzle
281: Mưa phùn băng                         : Freezing drizzle
284: Mưa phùn băng to                      : Heavy freezing drizzle
293: Mưa nhẹ rải rác                       : Patchy light rain
296: Mưa nhỏ                               : Light rain
299: Thỉnh thoảng có mưa vừa               : Moderate rain at times
302: Mưa vừa                               : Moderate rain
305: Thỉnh thoảng có mưa to                : Heavy rain at times
308: Mưa to                                : Heavy rain
311: Mưa băng giá nhẹ                      : Light freezing rain
314: Mưa băng giá vừa đến to               : Moderate or heavy freezing rain
317: Mưa đá nhỏ                            : Light sleet
320: Mưa đá vừa đến to                     : Moderate or heavy sleet
323: Tuyết rơi nhẹ rải rác                 : Patchy light snow
326: Tuyết rơi nhẹ                         : Light snow
329: Tuyết rơi vừa rải rác                 : Patchy moderate snow
332: Tuyết rơi vừa                         : Moderate snow
335: Tuyết rơi dày rải rác                 : Patchy heavy snow
338: Tuyết rơi dày                         : Heavy snow
350: Mưa đá                                : Ice pellets
353: Mưa rào nhẹ                           : Light rain shower
356: Mưa rào vừa đến to                    : Moderate or heavy rain shower
359: Mưa rào xối xả                        : Torrential rain shower
362: Mưa rào đá nhẹ                        : Light sleet showers
365: Mưa rào đá vừa đến to                 : Moderate or heavy sleet showers
368: Mưa rào tuyết nhỏ                     : Light snow showers
371: Mưa rào tuyết vừa đến to              : Moderate or heavy snow showers
386: Mưa rào nhẹ có dông rải rác           : Patchy light rain with thunder
389: Mưa dông vừa đến to                   : Moderate or heavy rain with thunder
392: Tuyết rơi nhẹ có dông rải rác         : Patchy light snow with thunder
395: Tuyết rơi vừa đến dày có dông rải rác : Moderate or heavy snow with thunder
