113: Ochiq havo                         				  : Clear                             	 : Ясно                         
113: Quyoshli                           				  : Sunny                             	 : Солнечно
116: Qisman bulutli                   					  : Partly cloudy                     	 : Переменная облачность
119: Bulutli                            				  : Cloudy                            	 : Облачно              
122: Bulutli                            				  : Overcast                          	 : Пасмурно
143: Tuman                              				  : Mist                              	 : Дымка
176: Joylarda yomg'ir ehtimoli									  : Patchy rain possible              	 : Местами дождь
179: Joylarda qor ehtimoli											  : Patchy snow possible              	 : Местами снег
182: Joylarda yomg'ir aralash qor ehtimoli 			  : Patchy sleet possible             	 : Местами дождь со снегом
185: Joylarda muzlatuvchi mayda yomg'ir ehtimoli  : Patchy freezing drizzle possible  	 : Местами замерзающая морось
200: Momoqaldiroq ehtimoli              				  : Thundery outbreaks possible       	 : Местами грозы              
227: Qorli izg'irin															  : Blowing snow                      	 : Поземок
230: Bo'ron																			  : Blizzard                          	 : Метель
248: Tuman                              				  : Fog                               	 : Туман
260: Sovuq tuman																	: Freezing fog                      	 : Переохлажденный туман
263: Joylarda yengil yomg'ir										  : Patchy light drizzle              	 : Местами слабая морось
266: Yengil yomg'ir                      				  : Light drizzle                     	 : Слабая морось
281: Muzlatuvchi yomg'ir                 				  : Freezing drizzle                  	 : Замерзающая морось
284: Kuchli muzlatuvchi yomg'ir          				  : Heavy freezing drizzle            	 : Сильная замерзающая морось
293: Joylarda yengil yomg'ir             				  : Patchy light rain                 	 : Местами небольшой дождь
296: Yengil yomg'ir                      				  : Light rain                        	 : Небольшой дождь
299: Vaqti bilan o'rtacha yomg'ir        				  : Moderate rain at times            	 : Временами умеренный дождь
302: O'rtacha yomg'ir                    				  : Moderate rain                     	 : Умеренный дождь
305: Vaqti bilan kuchli yomg'ir          				  : Heavy rain at times               	 : Временами сильный дождь
308: Kuchli yomg'ir                      				  : Heavy rain                        	 : Сильный дождь
311: Yengil muzlatuvchi yomg'ir          				  : Light freezing rain               	 : Слабый переохлажденный дождь
314: O'rtacha yoki kuchli muzlatuvchi yomg'ir		  : Moderate or heavy freezing rain   	 : Умеренный или сильный переохлажденный дождь
317: Yengil yomg'ir aralash qor          				  : Light sleet                       	 : Небольшой дождь со снегом
320: O'rtacha yoki kuchli yomg'ir aralash qor 	  : Moderate or heavy sleet           	 : Умеренный или сильный дождь со снегом
323: Joylarda yengil qor                          : Patchy light snow                 	 : Местами небольшой снег
326: Yengil qor                          				  : Light snow                        	 : Небольшой снег
329: Joylarda o'rtacha qor               				  : Patchy moderate snow              	 : Местами умеренный снег
332: O'rtacha qor                        				  : Moderate snow                     	 : Умеренный снег
335: Joylarda kuchli qor                 				  : Patchy heavy snow                 	 : Местами сильный снег
338: Kuchli qor                          				  : Heavy snow                        	 : Сильный снег
350: Do'l                                				  : Ice pellets                       	 : Ледяной дождь
353: Qisqa jala                          				  : Light rain shower                 	 : Небольшой ливневый дождь
356: O'rtacha yoki kuchli jala                    : Moderate or heavy rain shower     	 : Умеренный или сильный ливневый дождь
359: Shiddatli jala                      				  : Torrential rain shower            	 : Очень сильный ливень
362: Qisqa qorli jala                    				  : Light sleet showers               	 : Небольшой ливневый дождь со снегом
365: O'rtacha yoki kuchli qorli jala     				  : Moderate or heavy sleet showers   	 : Небольшой снег
368: Qisqa qor aralash yomg'ir           				  : Light snow showers                	 : Небольшой ливневый дождь со снегом
371: O'rtacha yoki kuchli qorli jala     				  : Moderate or heavy snow showers    	 : Умеренный или сильный снежный ливень
386: Joylarda yengil yomg'ir va momaqaldiroq		  : Patchy light rain with thunder      : Местами небольшой дождь с грозой
389: O'rtacha yoki kuchli yomg'ir va momaqaldiroq : Moderate or heavy rain with thunder : Умеренный или сильный дождь с грозой
392: Joylarda yengil qor va momaqaldiroq 				  : Patchy light snow with thunder      : Местами небольшой снег с грозой
395: O'rtacha yoku kuchli qor va momaqaldiroq		  : Moderate or heavy snow with thunder : Умеренный или сильный снег с грозой 
